from,to,weight
PaC,SePo,2
PaC,TyHi,2
PaC,GU,2
PaC,KeSi,2
ST,ErLi,2
ST,ZaMi,2
ST,DiMa,2
ST,LiFa,2
ST,AdZy,2
ST,StLPD,2
ST,JoKa,2
ST,MeTw,2
ST,RoFa,2
ST,PrDe,2
ST,WaPo,2
ST,ArRe,2
ST,UsTo,2
ST,CiEn,2
ST,JeSa,2
ST,RyKe,2
ST,AsPr,2
ST,LAT,2
ST,LLA,2
ST,TCM,2
ST,KeAr,3
ST,MiLa,2
ST,CaFi,1
ST,AJR,2
ST,KaSc,2
ST,FaSt,2
ST,EmNu,2
ST,JaOh,2
ST,MaLi,2
ST,SePo,2
ST,TyHi,2
ST,JeRi,2
ST,GU,2
ST,BG,2
ST,ChHa,2
ST,ElSa,2
ST,WiHo,2
ST,DaPh,2
ST,StHe,2
ST,OR,2
ST,JosHa,2
ErLi,ZaMi,1
ErLi,CaLe,2
ErLi,KaKi,3
ErLi,JoKa,3
ErLi,MeTw,3
ErLi,RoFa,1
ErLi,PrDe,2
ErLi,WaPo,2
ErLi,ClBa,1
ErLi,RyKe,1
ErLi,AsPr,2
ErLi,AnCo,1
ErLi,TCM,1
ErLi,MiLa,3
ErLi,AJR,3
ErLi,FaSt,3
ErLi,EmNu,1
ErLi,JaOh,1
ErLi,SePo,3
ErLi,TyHi,3
ErLi,GU,2
ErLi,BG,2
ErLi,ChHa,3
ErLi,DaPh,3
ErLi,JaSz,1
ErLi,InSa,1
ErLi,JosHa,3
ZaMi,RoKu,1
ZaMi,MeTw,1
ZaMi,ClBa,1
ZaMi,AsPr,2
ZaMi,LAT,3
ZaMi,KaSc,1
ZaMi,BG,3
RoKu,ReKi,3
RoKu,FrSu,3
RoKu,CaLe,1
RoKu,DiMa,1
RoKu,MaMc,1
RoKu,WaPo,3
RoKu,LAT,1
RoKu,AnCo,1
RoKu,LiGa,1
RoKu,EmNu,1
RoKu,GU,2
RoKu,BG,3
RoKu,ElSa,1
ReKi,FrSu,3
ReKi,DiMa,1
ReKi,KaKi,1
ReKi,PrDe,2
ReKi,WaPo,2
FrSu,WaPo,2
CaLe,MaMc,1
CaLe,JoKa,1
CaLe,RoFa,1
CaLe,PrDe,2
CaLe,WaPo,3
CaLe,UsTo,2
CaLe,AsPr,2
CaLe,LAT,3
CaLe,AnCo,1
CaLe,TCM,1
CaLe,JaOh,1
CaLe,GU,2
CaLe,BG,3
CaLe,ElSa,1
CaLe,WiHo,1
CaLe,InSa,1
CaLe,KeSi,1
DiMa,MaMc,3
DiMa,ClBa,1
DiMa,AnMa,1
DiMa,LAT,3
DiMa,LLA,1
DiMa,TCM,1
DiMa,ElSa,1
LiFa,WaPo,2
LiFa,UsTo,2
LiFa,AsPr,3
LiFa,LAT,2
LiFa,LLA,1
LiFa,GU,2
LiFa,ElSa,1
LiFa,StHe,1
LiFa,InSa,1
MaMc,JoKa,2
MaMc,MeTw,2
MaMc,RoFa,2
MaMc,WaPo,1
MaMc,JeSa,1
MaMc,LAT,3
MaMc,EmNu,1
MaMc,WiHo,1
KaKi,JoKa,1
KaKi,RoFa,1
KaKi,WaPo,2
KaKi,UsTo,1
KaKi,FaSt,1
KaKi,EmNu,1
KaKi,JaOh,1
KaKi,JeRi,1
KaKi,GU,2
KaKi,BG,3
KaKi,KeSi,1
AdZy,StLPD,2
AdZy,WaPo,2
AdZy,UsTo,2
AdZy,JaHa,1
AdZy,LAT,2
AdZy,JaOh,1
AdZy,JaSz,1
AdZy,KeSi,1
StLPD,PrDe,2
StLPD,UsTo,2
StLPD,LAT,2
StLPD,GU,2
StLPD,BG,2
JoKa,MeTw,3
JoKa,RoFa,2
JoKa,PrDe,2
JoKa,WaPo,2
JoKa,ClBa,1
JoKa,AnMa,1
JoKa,RaKaGh,1
JoKa,JeSa,1
JoKa,JaHa,3
JoKa,LAT,2
JoKa,LLA,1
JoKa,AnCo,1
JoKa,TCM,1
JoKa,MiLa,1
JoKa,LiGa,1
JoKa,AJR,1
JoKa,FaSt,1
JoKa,EmNu,2
JoKa,JaOh,1
JoKa,GU,2
JoKa,BG,2
JoKa,WiHo,1
JoKa,JaSz,1
JoKa,InSa,1
JoKa,JosHa,1
MeTw,RoFa,2
MeTw,PrDe,2
MeTw,WaPo,2
MeTw,ClBa,1
MeTw,AnMa,1
MeTw,JeSa,1
MeTw,LAT,2
MeTw,AnCo,1
MeTw,LiGa,1
MeTw,AJR,3
MeTw,FaSt,3
MeTw,EmNu,1
MeTw,SePo,3
MeTw,TyHi,3
MeTw,GU,2
MeTw,BG,2
MeTw,ChHa,1
MeTw,JaSz,1
MeTw,JosHa,3
RoFa,PrDe,2
RoFa,WaPo,2
RoFa,UsTo,2
RoFa,ClBa,1
RoFa,RaKaGh,1
RoFa,JoAr,1
RoFa,RyKe,1
RoFa,LAT,2
RoFa,LLA,1
RoFa,AnCo,1
RoFa,FaSt,1
RoFa,EmNu,1
RoFa,JaOh,1
RoFa,DaEt,1
RoFa,BG,2
RoFa,WiHo,1
PrDe,WaPo,2
PrDe,AJR,2
PrDe,SePo,2
PrDe,BG,2
WaPo,ArRe,2
WaPo,UsTo,2
WaPo,CiEn,2
WaPo,AsPr,1
WaPo,LAT,2
WaPo,AnCo,2
WaPo,TCM,2
WaPo,KeAr,2
WaPo,AJR,2
WaPo,KaSc,2
WaPo,FaSt,1
WaPo,EmNu,2
WaPo,JoHa,2
WaPo,MaLi,2
WaPo,SePo,2
WaPo,TyHi,2
WaPo,DaEt,2
WaPo,JeRi,2
WaPo,GU,2
WaPo,BG,1
WaPo,ChHa,1
WaPo,ElSa,2
WaPo,WiHo,2
WaPo,DaPh,2
ArRe,UsTo,2
ArRe,AnDo,2
ArRe,LAT,2
UsTo,AnMa,2
UsTo,JaHa,2
UsTo,AsPr,2
UsTo,LAT,1
UsTo,LLA,2
UsTo,AnCo,2
UsTo,MiBr,1
UsTo,TCM,1
UsTo,KeAr,2
UsTo,FaSt,2
UsTo,GU,1
UsTo,BG,2
UsTo,StHe,3
UsTo,InSa,2
UsTo,OR,2
CiEn,AsPr,2
CiEn,AnCo,2
CiEn,JeRi,2
CiEn,ElSa,2
ClBa,AnMa,3
ClBa,MaMo,3
ClBa,AnCo,1
ClBa,JeRi,2
ClBa,JaSz,3
AnMa,MaMo,3
AnMa,AnCo,1
AnMa,JaSz,3
MaMo,AnCo,1
MaMo,JaSz,3
JeSa,KaSc,1
JeSa,GU,2
JeSa,InSa,1
JaHa,MiSl,3
JaHa,LAT,2
JaHa,KeAr,3
JaHa,KaSc,3
JaHa,EmNu,3
JaHa,BG,2
JaHa,WiHo,1
MiSl,BG,2
RyKe,AsPr,2
AsPr,AnCo,2
AsPr,LiGa,2
AsPr,KaSc,1
AsPr,JaOh,2
AsPr,SePo,3
AsPr,TyHi,2
AsPr,DaEt,2
AsPr,GU,1
AsPr,BG,1
AsPr,WiHo,1
AsPr,OR,1
AsPr,KeSi,1
LAT,LLA,1
LAT,TCM,3
LAT,CaFi,2
LAT,AJR,2
LAT,KaSc,2
LAT,EmNu,2
LAT,JaOh,2
LAT,MaLi,2
LAT,SePo,2
LAT,TyHi,2
LAT,DaEt,2
LAT,JeRi,2
LAT,JaSz,2
LAT,OR,1
LLA,AnCo,3
LLA,MiBr,2
LLA,TCM,1
LLA,KeAr,1
LLA,MiLa,1
LLA,CaFi,1
LLA,LiGa,1
LLA,EmNu,1
LLA,WiHo,1
AnCo,MiBr,2
AnCo,TCM,1
AnCo,KeAr,1
AnCo,CaFi,1
AnCo,LiGa,1
AnCo,AJR,2
AnCo,FaSt,1
AnCo,TyHi,1
AnCo,ChHa,3
AnCo,WiHo,1
AnCo,JosHa,3
MiBr,TCM,1
MiBr,KeAr,1
MiBr,MiLa,1
MiBr,CaFi,1
MiBr,LiGa,1
TCM,KeAr,2
TCM,MiLa,1
TCM,CaFi,1
TCM,LiGa,1
TCM,AJR,2
TCM,EmNu,1
TCM,WiHo,1
KeAr,MiLa,1
KeAr,CaFi,1
KeAr,LiGa,1
KeAr,EmNu,1
KeAr,WiHo,1
MiLa,CaFi,3
MiLa,LiGa,3
MiLa,TyHi,3
MiLa,ChHa,3
MiLa,WiHo,3
MiLa,DaPh,3
MiLa,StHe,2
MiLa,JosHa,3
CaFi,LiGa,3
CaFi,KaSc,1
CaFi,FaSt,2
CaFi,WiHo,1
LiGa,KaSc,1
LiGa,FaSt,2
LiGa,EmNu,1
LiGa,JaOh,1
LiGa,WiHo,1
LiGa,InSa,1
AJR,MaLi,3
AJR,SePo,3
AJR,TyHi,3
AJR,DaEt,3
AJR,GU,2
AJR,BG,2
AJR,DaPh,2
AJR,JosHa,3
KaSc,FaSt,1
KaSc,EmNu,3
KaSc,GU,2
KaSc,BG,2
KaSc,OR,2
FaSt,EmNu,1
FaSt,JaOh,1
FaSt,TyHi,1
FaSt,JeRi,3
FaSt,BG,3
FaSt,DaPh,2
FaSt,JosHa,3
EmNu,GU,2
EmNu,BG,2
JoHa,BrGl,3
JaOh,BG,2
JaOh,OR,3
JaOh,KeSi,1
MaLi,SePo,3
MaLi,TyHi,3
MaLi,DaEt,3
MaLi,GU,2
MaLi,BG,2
MaLi,JosHa,3
SePo,TyHi,3
SePo,DaEt,3
SePo,GU,2
SePo,BG,2
SePo,DaPh,2
SePo,JosHa,3
TyHi,DaEt,3
TyHi,GU,2
TyHi,BG,2
TyHi,ChHa,3
TyHi,DaPh,3
TyHi,JosHa,3
DaEt,GU,2
JeRi,BG,3
JeRi,JaSz,2
BG,ElSa,2
ChHa,WiHo,2
ChHa,DaPh,3
ChHa,StHe,2
ChHa,JosHa,3
ElSa,WiHo,3
WiHo,InSa,3
DaPh,StHe,2
DaPh,JosHa,3
OR,JosHa,2
NYDN,HaRy,2
NYDN,RuBu,2
NYDN,NiNe,2
NYDN,ST,1
NYDN,AsPr,2
NYDN,JeRi,2
NYDN,DaPh,1
PP,PaPr,1
PP,DaBa,1
PP,SuCr,1
PP,MaMi,1
PP,NaEl,1
PP,RE,2
PP,KySo,2
PP,HaDr,3
PP,BrSt,2
PP,DarBe,1
PP,DaBe,1
PP,GeRy,2
PP,MaWa,2
PP,NiNe,1
PP,FrOb,1
PP,DaFa,2
PP,ChCh,2
PP,ST,2
PP,ErLi,1
PP,ReKi,1
PP,CaLe,1
PP,LiFa,1
PP,KaKi,1
PP,AdZy,1
PP,JoKa,2
PP,MeTw,2
PP,RoFa,2
PP,WaPo,1
PP,UsTo,2
PP,ClBa,1
PP,AnMa,1
PP,JoAr,1
PP,JeSa,1
PP,RyKe,1
PP,LAT,1
PP,LLA,1
PP,AnCo,1
PP,MiBr,1
PP,TCM,3
PP,KeAr,3
PP,MiLa,2
PP,CaFi,1
PP,LiGa,1
PP,FaSt,1
PP,EmNu,1
PP,JaOh,1
PP,DaEt,1
PP,GU,1
PP,WiHo,1
